, 11:  time = 433.8703
Added Stair at 43, 4:  time = 660.8592
Added Stair at 43, 4:  time = 660.8592
Added Stair at 44, 5:  time = 661.1424
Added Stair at 44, 5:  time = 661.1424
Added Stair at 44, 5:  time = 661.1424
Added Stair at 44, 5:  time = 661.1424
Added Stair at 45, 5:  time = 661.5593
Added Stair at 45, 5:  time = 661.5593
Added Stair at 45, 5:  time = 661.5593
Added Stair at 45, 4:  time = 661.8932
Added Stair at 45, 4:  time = 661.8932
Added Stair at 45, 4:  time = 661.8932
Added Stair at 45, 4:  time = 661.8932
Added Stair at 45, 3:  time = 662.4939
Added Stair at 45, 3:  time = 662.4939
Added Stair at 45, 3:  time = 662.4939
Added Stair at 45, 3:  time = 662.4939
Added Stair at 46, 4:  time = 662.9438
Added Stair at 46, 4:  time = 662.9438
Added Stair at 46, 4:  time = 662.9438
Added Stair at 46, 4:  time = 662.9438
Added Stair at 46, 5:  time = 663.2272
Added Stair at 46, 5:  time = 663.2272
Added Stair at 46, 5:  time = 663.2272
Added Stair at 46, 5:  time = 663.2272
Study End:  time = 675.6207
